time,UNIFORM,G1_Espildora1979,G2_Espildora1979,G3_Espildora1979,G1_Benitez1985,G2_Benitez1985,G3_Benitez1985,G1_Varas1985,G2_Varas1985,G3_Varas1985,G4_Varas1985,SCS_I24,SCS_IA24,SCS_II6,SCS_II12,SCS_II24,SCS_II48,SCS_III24
0.44,0.4400000000000001,0.6136099999999991,0.42636999999999925,0.3588899999999988,0.773770097201766,0.4355351045655365,0.2151991516936661,0.6627515758468325,0.6266658026509558,0.482683711340205,0.4516867157584671,0.58834,0.60364,0.21044,0.21282000000000004,0.20724,0.20712,0.22022000000000003
0.46,0.46000000000000013,0.6336142857142849,0.4568571428571421,0.36873333333333214,0.7924993505154626,0.4628581649484525,0.2353715773195866,0.6789212886597927,0.6601557731958748,0.499372474226803,0.4677637628865967,0.62572,0.62468,0.27104000000000006,0.2470600000000001,0.23808000000000007,0.23604000000000008,0.25312000000000007
0.48,0.48000000000000015,0.6527333333333324,0.48539999999999905,0.3780761904761891,0.810219069219439,0.4906541502209119,0.25636266863033763,0.6947273343151683,0.6917638291605286,0.5180408247422666,0.4838938733431504,0.6567,0.6448,0.3844799999999999,0.3807799999999999,0.2877599999999998,0.2802800000000001,0.30125999999999986
0.5,0.5000000000000001,0.671399999999999,0.5133999999999991,0.3875999999999986,0.8269999999999986,0.5189999999999988,0.2779999999999988,0.7099999999999989,0.7199999999999983,0.5399999999999987,0.49999999999999883,0.684,0.664,0.6001,0.6932,0.663,0.638,0.5
0.52,0.5200000000000001,0.6867333333333323,0.5407333333333324,0.3975999999999986,0.8428944977908674,0.5478872930780548,0.3001363829160518,0.7246301914580252,0.7437866863033858,0.5661208247422667,0.516025301914579,0.7082400000000001,0.6822400000000002,0.7400800000000002,0.7424400000000001,0.73304,0.7265200000000003,0.6987399999999999
0.54,0.5400000000000001,0.7002571428571419,0.5674333333333322,0.40841428571428434,0.8578813505154625,0.5769661649484522,0.3227255773195864,0.7387512886597924,0.7636957731958747,0.5955124742268026,0.5319937628865966,0.7302400000000001,0.6995600000000001,0.771,0.7764800000000002,0.7694400000000001,0.7671200000000001,0.7468800000000001
0.56,0.5600000000000002,0.7134285714285705,0.5934999999999991,0.4200428571428557,0.8719209543446228,0.6058013902798218,0.3457465802650944,0.7525572901325466,0.7807115169366697,0.6268437113402046,0.5479495729013241,0.74996,0.71684,0.7972800000000001,0.8000600000000001,0.79612,0.7948800000000001,0.77978
0.58,0.5800000000000002,0.726959999999999,0.6193299999999988,0.4331899999999985,0.8849737054491882,0.6339577437407936,0.3691783888070678,0.7662421944035331,0.795818173784976,0.6587832989690705,0.5639369219440339,0.76736,0.73328,0.81924,0.8197599999999999,0.81696,0.8158,0.807
0.6,0.6000000000000002,0.739847619047618,0.6415761904761893,0.44693809523809375,0.8969999999999981,0.6609999999999983,0.39299999999999863,0.7799999999999986,0.809999999999998,0.6899999999999983,0.5799999999999985,0.783,0.7496,0.8366,0.8366,0.8342,0.8343999999999999,0.8297
0.62,0.6200000000000002,0.7524571428571418,0.6626619047619035,0.46189047619047463,0.9079814462444751,0.6865947982326933,0.4172126509572887,0.7939713254786435,0.8240693667157565,0.719413402061854,0.5962390132547848,0.79828,0.7651600000000001,0.85076,0.8514799999999999,0.84988,0.85016,0.84962
